id,submitdate,lastpage,startlanguage,seed,age,gender,gender[other],educationlevel,educationstatus,program,familiar,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,langcode,interviewtime,groupTime95800,ageTime,genderTime,educationlevelTime,educationstatusTime,programTime,familiarTime,groupTime95797,q1Time,q2Time,q3Time,q4Time,q5Time,q6Time,q7Time,q8Time,q9Time,q10Time,q11Time,q12Time,q13Time,q14Time,q15Time,langcodeTime,groupTime95801,emailTime
15,,,de,1176674547,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1980-01-01 00:00:00,3.0,de,26659429,A2,A1,,A4,A4,Cognitive Science,A1,Wann kann ich mich für [STUDIENGANG] einschreiben?,Was muss ich alles für meine Immatrikulation erledigen?,Was muss ich alles nach meiner Immatrikulation erledigen?,Wie lasse ich mich exmatrikulieren?,"Ich studiere [STUDIENGANG], welche außerschulischen Aktivitäten und Initiativen könnte ich besuchen?",Ich studiere [STUDIENGANG] und habe ein Auslandsemester. Welche Partnerhochschulen kommen in Frage und wie sind die Rezensionen dazu?,"Worauf muss ich achten, wenn ich ein Auslandssemester antrete?",,,,,,,,,de,296.44,41.96,,,,,,,235.25,,,,,,,,,,,,,,,,,19.23,
17,1980-01-01 00:00:00,3.0,en,1733042433,A2,A2,,A4,A4,Cognitive Science,A2,What do students usually learn in cognitive science?,Is University of Osnabrück an international student friendly campus?,How am I able to get a student accomodation during my arrival at Osnabrück?,How similar is cognitive science to psychology and biology?,Where do cognitive science alumnis from Osnabrück University end up working?,What are some research labs that I can join as a cognitive science student in Osnabrück University?,Do I have to complete an internship before or during my studies as a cognitive science student at Osnabrück University?,,,,,,,,,en,415.44,38.97,,,,,,,356.76,,,,,,,,,,,,,,,,,19.71,
18,1980-01-01 00:00:00,3.0,de,1585812275,A2,A1,,A4,A4,Bachelor of Science Cognitive Science,A2,"Ich möchte hier studieren, wo kann ich mehr Infos über verschiedene Studiengänge finden?","Ich muss eine Präsentation machen, wo finde ich Vorlagen in verschiedenen Dateiformaten?",Welche Tools stellt die Uni mir zur Verfügung?,Wo gibt es Werkstätten welche ich nutzen kann? Z.b. Holz oder Drucker,Aud welchem System läuft dieser Chatbot?,Wo finde ich Services für Studis? z.b. Wohnungssuche,"Ich will meine BA schreiben, was sind formale Voraussetzungen?",,,,,,,,,de,539.12,66.19,,,,,,,456.09,,,,,,,,,,,,,,,,,16.84,
19,1980-01-01 00:00:00,3.0,de,380140469,A3,A2,,A5,A4,Cognitive Science,A1,Wie erreiche ich das Students Office?,Wann fängt da nächste Semester an?,Wo finde ich Infos zu Stipendien?,Wie bewerbe ich mich für den Master Cognitive Science?,Was gibt es Neues?,Wie erreiche ich Prof. xyz?,Was für Veranstaltungen stehen an?,,,,,,,,,de,419.18,34.73,,,,,,,379.1,,,,,,,,,,,,,,,,,5.35,
20,1980-01-01 00:00:00,3.0,de,186781878,A2,A2,,A4,A4,Cognitive Science,A2,Wie könnte mein Stundenplan im Studiengang Cognitive Science in den ersten drei Semestern aussehen?,"An wen muss ich mich wenden, wenn ich im nächsten Jahr ein Auslandssemester plane?",Wie kann ich auf Online Inhalte der Bibliothek zugreifen?,Wann sind zwischen 2025 und 2027 vorlesungsfreie Zeiten?,Welche Masterstudiengänge in Osnabrück kann ich mit einem Bachelor in Cognitive Science studieren?,Wo kann ich das Gebäude 66 finden?,Welche Module aus Psychologie und Cognitive Science überschneiden sich und was ist Psychologie spezifisch?,,,,,,,,,de,443.46,49.35,,,,,,,347.8,,,,,,,,,,,,,,,,,46.31,
21,1980-01-01 00:00:00,3.0,de,1115813263,A2,A2,,A5,A4,Cognitive Science,A3,"Welche Studiengänge gibt es, die ausschließlich auf Englisch unterrichtet werden?",In welchen Ländern hat die Universität Osnabrück Partnerschaften für ein Auslandssemester?,Wann sind wieder Semesterferien?,Wie lautet die Adresse für das Gebäude 15?,Wann sind die Bewerbungsfristen für das Sommersemester 2025?,Welche Sprachnachweise werden bei meiner Bewerbung anerkannt?,Wie lautet die aktuelle Prüfungsordnung für Cognitive Science Studierende im Bachelor?,,,,,,,,,de,848.8,55.92,,,,,,,751.32,,,,,,,,,,,,,,,,,41.56,
22,1980-01-01 00:00:00,3.0,de,2020284709,A3,A1,,A3,A4,Cognitive Science,A1,wo kann ich informationen zu dem Dekanat aus meinem Fachbereich finden. Ich studiere Cognitive Science.,Wann sind die telefonischen Sprechzeiten von Professor / Professorin xyz?,wo ist das Gebäude XYZ,"Ich habe an das Impressum eine Mail geschickt, kriege aber keine Antwort. Gibt es noch weitere Kontaktmöglichkeiten.",Gibt es gerade Stellenausschreiben an der Uni?,Was ist das Lernzentrum,wo finde ich meine Imatrikulationsunterlagen,Wann sind die Semesterferien 20xx,Ich habe meine Campuskarte verloren. wie kriege ich eine neue?,Wie hoch ist der Semesterbeitrag für meinen Studiengang xyz,,,,,,de,395.81,36.07,,,,,,,347.91,,,,,,,,,,,,,,,,,11.83,
23,1980-01-01 00:00:00,3.0,de,861030976,A2,A2,,A4,A4,Cognitive Science,A2,Wie melde ich mich in der Uni-Bibliothek an?,Was gibt es heute in der Mensa Westerberg zu essen?,Welche Studiengänge bietet die Universität Osnabrück an?,Bekomme ich als Semesterticket ein Deutschlandticket gestellt?,Wo ist das Gebäude 69?,Welche Vorraussetzungen muss ich für ein Studium in Sportwissenschaften erfüllen?,An wen wende ich mich bei Fragen zu meiner Studienlaufbahn?,,,,,,,,,de,496.45,76.49,,,,,,,396.08,,,,,,,,,,,,,,,,,23.88,
24,1980-01-01 00:00:00,3.0,de,761399452,A2,A2,,A4,A5,"Bachelor of Science, Cognitive Science",A1,Welche Master Studiengänge kann ich mit einem Cognitive Science Bachelor machen?,Wo ist das International Office?,Wie melde ich mich für eine Bachelorarbeit an?,Welche Institute sind am Standort Westerberg?,Bietet die Uni Osnabrück Musik und Sportclubs an?,Welche Kurse oder Veranstaltungen finden in dem Schlussgebäude am Innenstadt Campus statt?,Wie kann ich meine lernen Optimierten. ,,,,,,,,,de,531.26,48.45,,,,,,,447.18,,,,,,,,,,,,,,,,,35.63,
